"index","Category","ID","Name","PValue","QValueFDRBH","QValueFDRBY","QValueBonferroni","TotalGenes","GenesInTerm","GenesInQuery","GenesInTermInQuery","Source","URL","Cluster"
"1","GeneOntologyMolecularFunction","GO:0003735","structural constituent of ribosome",1.55177819928443e-96,9.15549137577814e-94,6.37056066041835e-93,9.15549137577814e-94,19912,195,245,76," "," ","0"
"2","GeneOntologyMolecularFunction","GO:0005198","structural molecule activity",1.81031578367852e-46,5.34043156185165e-44,3.71597130303638e-43,1.06808631237033e-43,19912,911,245,80," "," ","0"
"3","GeneOntologyMolecularFunction","GO:0019843","rRNA binding",3.55008395925513e-30,6.98183178653508e-28,4.85808801421961e-27,2.09454953596053e-27,19912,81,245,26," "," ","0"
"4","GeneOntologyMolecularFunction","GO:1990948","ubiquitin ligase inhibitor activity",1.38173734076063e-12,2.03806257762192e-10,1.41812173127251e-09,8.15225031048769e-10,19912,9,245,7," "," ","0"
"5","GeneOntologyMolecularFunction","GO:0055105","ubiquitin-protein transferase inhibitor activity",4.55761611538733e-12,5.37798701615705e-10,3.74210308449544e-09,2.68899350807852e-09,19912,10,245,7," "," ","0"
"6","GeneOntologyMolecularFunction","GO:0070180","large ribosomal subunit rRNA binding",1.24023655744248e-11,1.21956594815177e-09,8.48596599919918e-09,7.31739568891061e-09,19912,11,245,7," "," ","0"
"7","GeneOntologyMolecularFunction","GO:1990932","5.8S rRNA binding",2.74138557621063e-10,2.31059641423467e-08,1.60775582811098e-07,1.61741748996427e-07,19912,5,245,5," "," ","0"
"8","GeneOntologyMolecularFunction","GO:0048027","mRNA 5'-UTR binding",1.17767376234381e-09,8.68534399728556e-08,6.04342339698894e-07,6.94827519782845e-07,19912,28,245,8," "," ","0"
"9","GeneOntologyMolecularFunction","GO:0008097","5S rRNA binding",9.02568930649301e-09,5.91684076758987e-07,4.11704751617047e-06,5.32515669083088e-06,19912,14,245,6," "," ","0"
"10","GeneOntologyMolecularFunction","GO:0003729","mRNA binding",1.92871995734971e-07,1.05366912623212e-05,7.33162515168797e-05,0.000113794477483633,19912,661,245,26," "," ","0"
"11","GeneOntologyMolecularFunction","GO:0055106","ubiquitin-protein transferase regulator activity",1.96446786246667e-07,1.05366912623212e-05,7.33162515168797e-05,0.000115903603885533,19912,35,245,7," "," ","0"
"12","GeneOntologyMolecularFunction","GO:0050839","cell adhesion molecule binding",4.34125460630608e-07,2.13445018143382e-05,0.000148519001322411,0.000256134021772059,19912,600,245,24," "," ","0"
"13","GeneOntologyMolecularFunction","GO:0045296","cadherin binding",1.26115604684354e-06,5.72370821259761e-05,0.000398266230334237,0.000744082067637689,19912,342,245,17," "," ","0"
"14","GeneOntologyMolecularFunction","GO:0019900","kinase binding",2.0078440613457e-05,0.000846162854424261,0.00588775803662897,0.0118462799619396,19912,957,245,28," "," ","0"
"15","GeneOntologyMolecularFunction","GO:0003746","translation elongation factor activity",2.52551123203216e-05,0.000993367751265983,0.0069120370035906,0.0149005162689897,19912,29,245,5," "," ","0"
"16","GeneOntologyMolecularFunction","GO:0043021","ribonucleoprotein complex binding",4.50926674077297e-05,0.00166279211066003,0.0115700158209417,0.0266046737705605,19912,203,245,11," "," ","0"
"17","GeneOntologyMolecularFunction","GO:0030234","enzyme regulator activity",0.000184247168761503,0.00639446056289922,0.0444938422577457,0.108705829569287,19912,1438,245,34," "," ","0"
"18","GeneOntologyMolecularFunction","GO:0090079","translation regulator activity, nucleic acid binding",0.000198663269739555,0.00651174050812985,0.0453098978627118,0.117211329146337,19912,129,245,8," "," ","0"
"19","GeneOntologyMolecularFunction","GO:0008135","translation factor activity, RNA binding",0.000252414364762129,0.00783813027419242,0.0545391637942102,0.148924475209656,19912,101,245,7," "," ","0"
"20","GeneOntologyMolecularFunction","GO:0070181","small ribosomal subunit rRNA binding",0.000282235864968149,0.00832595801656041,0.0579335596786432,0.166519160331208,19912,11,245,3," "," ","0"
"21","GeneOntologyMolecularFunction","GO:0019901","protein kinase binding",0.000408817498425225,0.0114858249557563,0.0799204997442025,0.241202324070883,19912,859,245,23," "," ","0"
"22","GeneOntologyMolecularFunction","GO:0097371","MDM2/MDM4 family protein binding",0.000480373223903052,0.0128827364592182,0.0896404690006684,0.283420202102801,19912,13,245,3," "," ","0"
"23","GeneOntologyMolecularFunction","GO:0030159","signaling receptor complex adaptor activity",0.000729209197054398,0.0187058011418302,0.130158432775132,0.430233426262095,19912,58,245,5," "," ","0"
"24","GeneOntologyMolecularFunction","GO:0043530","adenosine 5'-monophosphoramidase activity",0.000890033958674762,0.0210048014247244,0.14615530302422,0.52512003561811,19912,4,245,2," "," ","0"
"25","GeneOntologyMolecularFunction","GO:0005055","laminin receptor activity",0.000890033958674762,0.0210048014247244,0.14615530302422,0.52512003561811,19912,4,245,2," "," ","0"
"26","GeneOntologyMolecularFunction","GO:0004857","enzyme inhibitor activity",0.0010904460108126,0.0247447363992089,0.172178464035552,0.643363146379432,19912,437,245,14," "," ","0"
"27","GeneOntologyMolecularFunction","GO:0042608","T cell receptor binding",0.00179674878190158,0.0383689760700023,0.266978449871911,1,19912,20,245,3," "," ","0"
"28","GeneOntologyMolecularFunction","GO:0015026","coreceptor activity",0.00182090055925434,0.0383689760700023,0.266978449871911,1,19912,71,245,5," "," ","0"
"29","GeneOntologyMolecularFunction","GO:0035591","signaling adaptor activity",0.00209612135796926,0.041663726236996,0.28990393244654,1,19912,107,245,6," "," ","0"
"30","GeneOntologyMolecularFunction","GO:0051434","BH3 domain binding",0.00218911103957098,0.041663726236996,0.28990393244654,1,19912,6,245,2," "," ","0"
"31","GeneOntologyMolecularFunction","GO:0097100","supercoiled DNA binding",0.00218911103957098,0.041663726236996,0.28990393244654,1,19912,6,245,2," "," ","0"
"32","GeneOntologyMolecularFunction","GO:0008134","transcription factor binding",0.00306850004695045,0.0565754696156489,0.393662607811166,1,19912,766,245,19," "," ","0"
"33","GeneOntologyMolecularFunction","GO:0070412","R-SMAD binding",0.00346454085000851,0.0601508016217106,0.418540430847525,1,19912,25,245,3," "," ","0"
"34","GeneOntologyMolecularFunction","GO:0031625","ubiquitin protein ligase binding",0.0034663173815901,0.0601508016217106,0.418540430847525,1,19912,341,245,11," "," ","0"
"35","GeneOntologyMolecularFunction","GO:0030292","protein tyrosine kinase inhibitor activity",0.00402040738097029,0.0677725815649278,0.471574188923124,1,19912,8,245,2," "," ","0"
"36","GeneOntologyMolecularFunction","GO:0051087","protein-folding chaperone binding",0.00440179819915226,0.0703371283455419,0.489418780940987,1,19912,165,245,7," "," ","0"
"37","GeneOntologyMolecularFunction","GO:0030971","receptor tyrosine kinase binding",0.00441097245556788,0.0703371283455419,0.489418780940987,1,19912,87,245,5," "," ","0"
"38","GeneOntologyMolecularFunction","GO:0019210","kinase inhibitor activity",0.00463076627788431,0.0713074999218063,0.496170806294965,1,19912,88,245,5," "," ","0"
"39","GeneOntologyMolecularFunction","GO:0051082","unfolded protein binding",0.00471354660500076,0.0713074999218063,0.496170806294965,1,19912,126,245,6," "," ","0"
"40","GeneOntologyMolecularFunction","GO:0045182","translation regulator activity",0.00484293845841604,0.0714333422616366,0.497046440629196,1,19912,461,245,13," "," ","0"
"41","GeneOntologyMolecularFunction","GO:0032813","tumor necrosis factor receptor superfamily binding",0.00497773313066348,0.0716307938314988,0.498420345263773,1,19912,56,245,4," "," ","0"
"42","GeneOntologyMolecularFunction","GO:0044389","ubiquitin-like protein ligase binding",0.00540228324115691,0.075889216959109,0.528051242982645,1,19912,362,245,11," "," ","0"
"43","GeneOntologyMolecularFunction","GO:0019207","kinase regulator activity",0.00608419631946254,0.0834808332205325,0.580875116567372,1,19912,317,245,10," "," ","0"
"44","GeneOntologyMolecularFunction","GO:0019957","C-C chemokine binding",0.00635732259792718,0.0840947534559604,0.585146887398591,1,19912,10,245,2," "," ","0"
"45","GeneOntologyMolecularFunction","GO:0016505","peptidase activator activity involved in apoptotic process",0.00641400661952241,0.0840947534559604,0.585146887398591,1,19912,31,245,3," "," ","0"
"46","GeneOntologyMolecularFunction","GO:0140297","DNA-binding transcription factor binding",0.00708644351979024,0.0908913407973096,0.632438802343152,1,19912,595,245,15," "," ","0"
"47","GeneOntologyMolecularFunction","GO:0030544","Hsp70 protein binding",0.0075523095921923,0.0947360772159737,0.659191191235373,1,19912,63,245,4," "," ","0"
"48","GeneOntologyMolecularFunction","GO:0070513","death domain binding",0.00770734187519786,0.0947360772159737,0.659191191235373,1,19912,11,245,2," "," ","0"
"49","GeneOntologyMolecularFunction","GO:0005164","tumor necrosis factor receptor binding",0.00900905616606476,0.108476390570984,0.754798839288898,1,19912,35,245,3," "," ","0"
"50","GeneOntologyMolecularFunction","GO:0051400","BH domain binding",0.0107549316052503,0.126908192941953,0.88305073781152,1,19912,13,245,2," "," ","0"
"51","GeneOntologyBiologicalProcess","GO:0002181","cytoplasmic translation",4.87292361481766e-109,1.93649984452854e-105,1.71668191841854e-104,1.93649984452854e-105,20649,173,243,79," "," ","0"
"52","GeneOntologyBiologicalProcess","GO:0140236","translation at presynapse",4.93608356134827e-89,9.80799803639902e-86,8.69466265775503e-85,1.9615996072798e-85,20649,53,243,48," "," ","0"
"53","GeneOntologyBiologicalProcess","GO:0140241","translation at synapse",4.40127387380671e-88,4.37266559362697e-85,3.87631116061246e-84,1.74906623745079e-84,20649,54,243,48," "," ","0"
"54","GeneOntologyBiologicalProcess","GO:0140242","translation at postsynapse",4.40127387380671e-88,4.37266559362697e-85,3.87631116061246e-84,1.74906623745079e-84,20649,54,243,48," "," ","0"
"55","GeneOntologyBiologicalProcess","GO:0006412","translation",2.00110739829646e-60,1.59048016016603e-57,1.40993996992815e-56,7.95240080083015e-57,20649,932,243,92," "," ","0"
"56","GeneOntologyBiologicalProcess","GO:0043043","peptide biosynthetic process",5.42239971649893e-59,3.59143607889446e-56,3.18376135955493e-55,2.15486164733667e-55,20649,967,243,92," "," ","0"
"57","GeneOntologyBiologicalProcess","GO:0006518","peptide metabolic process",7.14139013525768e-55,4.05426919964486e-52,3.59405689966682e-51,2.8379884397514e-51,20649,1107,243,93," "," ","0"
"58","GeneOntologyBiologicalProcess","GO:0043604","amide biosynthetic process",1.58027960973689e-53,7.85003896136798e-51,6.95895741067943e-50,6.28003116909439e-50,20649,1115,243,92," "," ","0"
"59","GeneOntologyBiologicalProcess","GO:0043603","amide metabolic process",9.01650692114925e-46,3.98128872273857e-43,3.52936065636137e-42,3.58315985046471e-42,20649,1445,243,94," "," ","0"
